station,window_scale,start_idx,end_idx,start_time,end_time,pc1,pc2
4804126,12,576,587,2025-01-25 08:00:00,2025-01-25 19:00:00,-0.7857728698979198,-0.0407786601720428
4804126,12,588,599,2025-01-25 20:00:00,2025-01-26 07:00:00,-0.8255071618669263,0.001726881042250595
4804126,12,600,611,2025-01-26 08:00:00,2025-01-26 19:00:00,-0.7750177120684169,-0.05232053610315563
4804126,12,612,623,2025-01-26 20:00:00,2025-01-27 07:00:00,-0.7754977306469781,-0.05180769898146883
4804126,12,624,635,2025-01-27 08:00:00,2025-01-27 19:00:00,-0.7035984875924515,-0.12875213394050158
4804126,12,636,647,2025-01-27 20:00:00,2025-01-28 07:00:00,-0.7936539048899379,-0.0323362618835289
4804126,12,648,659,2025-01-28 08:00:00,2025-01-28 19:00:00,-0.760682682181009,-0.06761910304892056
4804126,12,660,671,2025-01-28 20:00:00,2025-01-29 07:00:00,-0.8598608048220294,0.03854319273888034
4804126,12,672,683,2025-01-29 08:00:00,2025-01-29 19:00:00,-0.7410915949503549,-0.0886260403240913
4804126,12,684,695,2025-01-29 20:00:00,2025-01-30 07:00:00,-0.8600081884354684,0.03865393971433317
4804126,12,696,707,2025-01-30 08:00:00,2025-01-30 19:00:00,-0.7335399470546397,-0.09671544154203074
4804126,12,708,719,2025-01-30 20:00:00,2025-01-31 07:00:00,-0.8022850321133072,-0.023127880357063535
4804126,12,720,731,2025-01-31 08:00:00,2025-01-31 19:00:00,-0.7682449116493414,-0.05953833019992447
5802053,12,0,11,2025-01-01 00:00:00,2025-01-01 11:00:00,-1.2927978300999445,0.6719030290230495
5802053,12,12,23,2025-01-01 12:00:00,2025-01-01 23:00:00,-1.2592492845648458,0.638423247034168
5802053,12,24,35,2025-01-02 00:00:00,2025-01-02 11:00:00,-1.27969017689089,0.6588740327596028
5802053,12,36,47,2025-01-02 12:00:00,2025-01-02 23:00:00,-1.258447613159635,0.6378751924472016
5802053,12,48,59,2025-01-03 00:00:00,2025-01-03 11:00:00,-1.2646547137097524,0.643454981016937
5802053,12,60,71,2025-01-03 12:00:00,2025-01-03 23:00:00,-1.2013547322957199,0.5806409688502921
5802053,12,72,83,2025-01-04 00:00:00,2025-01-04 11:00:00,-1.2625987424618679,0.6425567309975578
5802053,12,84,95,2025-01-04 12:00:00,2025-01-04 23:00:00,-1.2331378038112326,0.6136923347587476
5802053,12,96,107,2025-01-05 00:00:00,2025-01-05 11:00:00,-1.2851820909047462,0.6658601174135746
5802053,12,108,119,2025-01-05 12:00:00,2025-01-05 23:00:00,-1.2619168629338307,0.642802659076858
5802053,12,120,131,2025-01-06 00:00:00,2025-01-06 11:00:00,-1.2687113534091397,0.6488746552199918
5802053,12,132,143,2025-01-06 12:00:00,2025-01-06 23:00:00,-1.2719650335753638,0.6538405377055083
5802053,12,144,155,2025-01-07 00:00:00,2025-01-07 11:00:00,-1.2766735615885971,0.65764458999736
5802053,12,156,167,2025-01-07 12:00:00,2025-01-07 23:00:00,-1.2782939693243625,0.6600013271160499
5802053,12,168,179,2025-01-08 00:00:00,2025-01-08 11:00:00,-1.2899543302369285,0.6712840897072518
5802053,12,180,191,2025-01-08 12:00:00,2025-01-08 23:00:00,-1.2800633244446782,0.6619395533182933
5802053,12,192,203,2025-01-09 00:00:00,2025-01-09 11:00:00,-1.2810487756815807,0.662344382646082
5802053,12,204,215,2025-01-09 12:00:00,2025-01-09 23:00:00,-1.27760353960791,0.6597603292689076
5802053,12,216,227,2025-01-10 00:00:00,2025-01-10 11:00:00,-1.281338475471215,0.6629089904625703
5802053,12,228,239,2025-01-10 12:00:00,2025-01-10 23:00:00,-1.244877226997633,0.626300289874534
5802053,12,240,251,2025-01-11 00:00:00,2025-01-11 11:00:00,-1.2682099852156326,0.6495475802213643
5802053,12,252,263,2025-01-11 12:00:00,2025-01-11 23:00:00,-1.1995634018433294,0.5802334278236301
5802053,12,264,275,2025-01-12 00:00:00,2025-01-12 11:00:00,-1.257432400371661,0.6384432147201323
5802053,12,276,287,2025-01-12 12:00:00,2025-01-12 23:00:00,-1.2253453911761154,0.6079434555725468
5802053,12,288,299,2025-01-13 00:00:00,2025-01-13 11:00:00,-1.2865647247118905,0.6695706073344855
5802053,12,300,311,2025-01-13 12:00:00,2025-01-13 23:00:00,-1.2771998787487708,0.6609891281423959
5802053,12,312,323,2025-01-14 00:00:00,2025-01-14 11:00:00,-1.2787607929795552,0.6620649529074601
5802053,12,324,335,2025-01-14 12:00:00,2025-01-14 23:00:00,-1.2570207760714491,0.6410260822005457
5802053,12,336,347,2025-01-15 00:00:00,2025-01-15 11:00:00,-1.3110203624152188,0.6965685912800081
5802053,12,348,359,2025-01-15 12:00:00,2025-01-15 23:00:00,-1.2902766468466278,0.6756829373653616
5802053,12,360,371,2025-01-16 00:00:00,2025-01-16 11:00:00,-1.2775654938697563,0.6622064208702588
5802053,12,372,383,2025-01-16 12:00:00,2025-01-16 23:00:00,-1.257587035083131,0.6429303489129891
5802053,12,384,395,2025-01-17 00:00:00,2025-01-17 11:00:00,-1.2440871293409768,0.6282500010554527
5802053,12,396,407,2025-01-17 12:00:00,2025-01-17 23:00:00,-1.083005210095978,0.4661385403303796
5802053,12,408,419,2025-01-18 00:00:00,2025-01-18 11:00:00,-1.2190193842276984,0.6038173084042977
5802053,12,420,431,2025-01-18 12:00:00,2025-01-18 23:00:00,-0.9525492139747223,0.33372228349384586
5802053,12,432,443,2025-01-19 00:00:00,2025-01-19 11:00:00,-0.9640723447652719,0.34195193741630436
5802053,12,444,455,2025-01-19 12:00:00,2025-01-19 23:00:00,-0.9767561088887347,0.3604000377518057
5802053,12,456,467,2025-01-20 00:00:00,2025-01-20 11:00:00,-1.2681942145641911,0.6570838991598043
5802053,12,468,479,2025-01-20 12:00:00,2025-01-20 23:00:00,-1.2368930874243784,0.625442675533227
5802053,12,480,491,2025-01-21 00:00:00,2025-01-21 11:00:00,-1.2946349170952198,0.6840936536943375
5802053,12,492,503,2025-01-21 12:00:00,2025-01-21 23:00:00,-1.2908138246471774,0.6809747737027603
5802053,12,504,515,2025-01-22 00:00:00,2025-01-22 11:00:00,-1.278188078251765,0.6671569808499715
5802053,12,516,527,2025-01-22 12:00:00,2025-01-22 23:00:00,-1.2588435293121418,0.6485171670558172
5802053,12,528,539,2025-01-23 00:00:00,2025-01-23 11:00:00,-1.2864956724115908,0.6765734166131642
5802053,12,540,551,2025-01-23 12:00:00,2025-01-23 23:00:00,-1.2667257623404706,0.6571799139285013
