station,window_scale,start_idx,end_idx,start_time,end_time,latent_pc1,latent_pc2
4101872,6,81,86,2025-01-15 17:00:00,2025-01-15 22:00:00,-0.1431171,-1.2866418
4101872,6,84,89,2025-01-15 20:00:00,2025-01-16 01:00:00,-0.12074794,-0.6706172
4101872,6,87,92,2025-01-15 23:00:00,2025-01-16 04:00:00,-0.08682279,-0.6458021
4101872,6,90,95,2025-01-16 02:00:00,2025-01-16 07:00:00,-0.13462459,-1.0336648
4101872,6,93,98,2025-01-16 05:00:00,2025-01-16 10:00:00,-0.14396632,-1.299196
4101872,6,96,101,2025-01-16 08:00:00,2025-01-16 13:00:00,-0.06579557,-0.8002478
4101872,6,99,104,2025-01-16 11:00:00,2025-01-16 16:00:00,-0.067641616,-1.0403742
4101872,6,102,107,2025-01-16 14:00:00,2025-01-16 19:00:00,-0.09070906,-0.7348951
4101872,6,105,110,2025-01-16 17:00:00,2025-01-16 22:00:00,-0.13916512,-1.4103535
4101872,6,108,113,2025-01-16 20:00:00,2025-01-17 01:00:00,-0.11466038,-0.79598016
4101872,6,111,116,2025-01-16 23:00:00,2025-01-17 04:00:00,-0.09399703,-0.6256361
4101872,6,114,119,2025-01-17 02:00:00,2025-01-17 07:00:00,-0.13640611,-1.0849943
4101872,6,117,122,2025-01-17 05:00:00,2025-01-17 10:00:00,-0.13644297,-1.5594546
4101872,6,120,125,2025-01-17 08:00:00,2025-01-17 13:00:00,-0.08544106,-1.3475535
4101872,6,123,128,2025-01-17 11:00:00,2025-01-17 16:00:00,-0.05421664,-0.97362256
4101872,6,126,131,2025-01-17 14:00:00,2025-01-17 19:00:00,-0.11271966,-0.8503744
4101872,6,129,134,2025-01-17 17:00:00,2025-01-17 22:00:00,-0.14371683,-1.3032974
4101872,6,132,137,2025-01-17 20:00:00,2025-01-18 01:00:00,-0.097062215,-0.70683664
4101872,6,135,140,2025-01-17 23:00:00,2025-01-18 04:00:00,-0.06157428,-0.66997623
4101872,6,138,143,2025-01-18 02:00:00,2025-01-18 07:00:00,-0.10923042,-0.82132703
4101872,6,141,146,2025-01-18 05:00:00,2025-01-18 10:00:00,-0.1396341,-1.1293249
4101872,6,144,149,2025-01-18 08:00:00,2025-01-18 13:00:00,-0.06932461,-1.3742968
4101872,6,147,152,2025-01-18 11:00:00,2025-01-18 16:00:00,-0.0939405,-1.6392187
4101872,6,150,155,2025-01-18 14:00:00,2025-01-18 19:00:00,-0.095981486,-1.0260903
4101872,6,153,158,2025-01-18 17:00:00,2025-01-18 22:00:00,-0.14384025,-1.5470794
